Central,Llave,Coordinado,Grupo reporte,Tipo,Subtipo,Fecha,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23,Hora 24,Hora 25,Total
CSP CERRO DOMINADOR,CSP CERRO DOMINADOR,CERRO DOMINADOR CSP S.A.,CSP Cerro Dominador,Solar,Solar,2023-04-20,29.84,29.85,29.85,29.84,29.84,29.85,29.81,29.68,46.82,54.85,56.11,57.23,58.78,59.46,59.71,61.44,61.43,57.02,29.85,29.83,29.84,29.83,29.83,29.84,,990.43
PFV ALMEYDA,PFV Almeyda,ACCIONA ENERGÍA CHILE HOLDINGS S.A.,PFV Almeyda,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,8.69,39.48,46.3,45.99,45.37,42.19,43.94,44.4,40.1,38.53,18.05,0.27,0,0,0,0,0,,413.31
PFV ANDES SOLAR,ANDES SOLAR,AES ANDES S.A.,PFV Andes Solar,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,3.9,14.6,18.1,17.2,16.6,16.1,16.1,16.1,16.1,15.5,6.9,0,0,0,0,0,0,,157.2
PFV ANDES SOLAR II,Solar Andes IIA,ANDES SOLAR II SPA,PFV Andes Solar II-A,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,10.9,39.7,57.4,56.7,57.7,55.6,11.7,0,0,0,5.7,0.2,0,0,0,0,0,,295.6
PFV ANDES SOLAR II-B [EN_REVISION],Solar Andes IIB,ANDES SOLAR SPA [En_Revision],PFV Andes Solar II-B,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,5.4,18.3,25.74,27.81,28.2,28.49,29.86,31.66,33.27,33.94,31.79,17.02,5.25,5.34,5.39,4.01,1.59,,333.06
PFV ANTAY,PMG Antay,GENERADORA DEL PACÍFICO SPA,PMG PFV Antay,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.21,0.95,5.5,6.99,7.36,7.95,8.59,8.13,6.99,4.29,1.57,0.02,0,0,0,0,0,,58.55
PFV ATACAMA SOLAR II,PFV Atacama Solar 2,NUEVA ATACAMA SOLAR S.A.,PFV Atacama Solar II,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,15.13,102.3,124.7,124.43,122.39,117.72,114.99,115.45,110.57,102.79,47.16,0.19,0,0,0,0,0,,1097.82
PFV AZABACHE,PFV Azabache,ENEL GENERACIÓN CHILE S.A.,PFV Azabache,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.02,12.42,38.75,43.6,43.09,42.73,43.17,42.13,41.94,41.59,33.91,17.62,0.43,0,0,0,0,0,,401.4
PFV BOLERO,PFV BOLERO,HELIO ATACAMA TRES SPA,PFV Bolero,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,14.29,73.57,98.1,95.77,92.88,90.83,86.26,86.01,86,83.98,30.2,0.4,0,0,0,0,0,,838.29
PFV CAMPOS DEL SOL,PFV Campos del Sol,ENEL GREEN POWER CHILE S.A.,PFV Campos del Sol,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,63.6,258.92,265.31,276.41,260.3,273.65,223.4,269.63,231.27,184.53,120.61,0.88,0,0,0,0,0,,2428.51
PFV CAPRICORNIO,PFV Capricornio,ENGIE ENERGÍA CHILE S.A.,PFV Capricornio,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PFV CARACAS II [EN_REVISION],PFV CARACAS II,FONTUS PRIME SOLAR SPA,PMG PFV Caracas II,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PFV CARRERA PINTO,PFV Carrera Pinto,ENEL GREEN POWER CHILE S.A.,PFV Carrera Pinto,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.01,5.49,40.17,61.88,57.51,61.44,57.52,53.6,56.42,61.67,45.15,17.99,0.2,0,0,0,0,0,,519.05
PFV CASTILLA,PFV CASTILLA,SANTA ESTER SOLAR SPA,PMG PFV Castilla,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.01,0.08,0.29,0.24,0.3,0.46,0.53,0.46,0.28,0.21,0.1,0,0,0,0,0,0,,2.96
PFV CERRO DOMINADOR,PFV CERRO DOMINADOR,CERRO DOMINADOR CSP S.A.,PFV Cerro Dominador,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,17.04,70.05,82.44,83.68,83.15,81.51,77.62,77.28,77.28,74.87,32.03,0.44,0,0,0,0,0,,757.39
PFV CHAÑARES,PFV Chañares,ENEL GREEN POWER CHILE S.A.,PFV Chañares,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,1.31,14.43,23.73,22.96,23.88,25.82,25.25,23.86,24.16,20.94,7.14,0.03,0,0,0,0,0,,213.51
PFV CONEJO SOLAR,PFV CONEJO SOLAR,CONEJO SOLAR SPA,PFV Conejo,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,9.88,59.03,87.15,89.5,89.01,87.54,67.74,64.93,64.93,63.61,24.4,0.37,0,0,0,0,0,,708.09
PFV COYA,PFV COYA,ENGIE ENERGÍA CHILE S.A.,PFV Coya,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.1,24.3,106.1,142.8,145.8,146.7,144.7,140,140,140,127.8,50.3,1.3,0,0,0,0,0,,1309.9
PFV DE LOS ANDES,PFV de los Andes,FOTOVOLTAICA DE LOS ANDES SPA,PMG PFV De los Andes,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.01,2.13,6.68,7.54,7.23,7.03,7.04,7.07,7.12,7.11,5.44,1.8,0.02,0,0,0,0,0,,66.22
PFV DEL DESIERTO,PFV Del Desierto,FOTOVOLTAICA DEL DESIERTO SPA,PMG PFV Del Desierto,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.01,2.1,6.55,7.47,7.17,6.96,6.96,6.99,7.04,7.05,5.36,1.8,0.02,0,0,0,0,0,,65.48
PFV DIEGO DE ALMAGRO,PFV Diego de Almagro,ENEL GREEN POWER CHILE S.A.,PFV Diego de Almagro,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,1.52,11.62,15.44,14,13.99,14.17,15.15,14.98,14.69,14.23,5.55,0.03,0,0,0,0,0,,135.37
PFV DIEGO DE ALMAGRO SUR,PFV Diego de Almagro Sur,COLBÚN S.A.,PFV Diego de Almagro Sur,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,19.8,111.9,172.9,179.2,179,175,183.4,179.6,179.8,145.7,52,0.7,0,0,0,0,0,,1579
PFV DOMEYKO,PFV Domeyko,ENEL GREEN POWER CHILE S.A.,PFV Domeyko,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,22.91,101.91,126.86,132.55,140.45,144.92,150.36,147.43,145.39,131.01,46.34,1.12,0,0,0,0,0,,1291.25
PFV DOÑA CARMEN SOLAR,PFV DOÑA CARMEN SOLAR,ENERGÍA CERRO EL MORADO S.A.,PFV Doña Carmen,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.3,1.81,5.69,20.9,26.14,28.27,27.74,24.71,18.89,10.57,1.31,0,0,0,0,0,0,,166.33
PFV EL AGUILA,SOLAR EL AGUILA I,ENGIE ENERGÍA CHILE S.A.,PFV El Aguila,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.3
PFV EL PELICANO,PFV El Pelícano,EL PELÍCANO SOLAR COMPANY SPA,PFV El Pelicano,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,8.37,52.25,70.63,58,51.62,47.25,42,35.75,36.13,28.62,6.88,0.25,0,0,0,0,0,,437.75
PFV EL ROMERO,El Romero,ACCIONA ENERGÍA CHILE HOLDINGS S.A.,PFV El Romero,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,12.59,68.59,110.64,115.31,107.42,99.01,91.49,83.03,83.22,50.6,11.51,0.46,0,0,0,0,0,,833.87
PFV ELENA [En_Revision],PFV ELENA,SOLAR ELENA SPA [En_Revision],PFV ELENA,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PFV ESPERANZA,PMG PFV ESPERANZA,RTS ENERGÍA S.A.,PMGD PFV Esperanza,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PFV FINIS TERRAE,PFV Finis Terrae,ENEL GREEN POWER CHILE S.A.,PFV Finis Terrae,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.08,51.21,177.35,199.97,207.71,91.2,222.19,196.43,83.83,193.52,155.17,88.01,1.48,0,0,0,0,0,,1668.15
PFV GRANJA SOLAR,PFV Granja Solar,MARÍA ELENA SOLAR S.A.,PFV Granja Solar,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,32.74,80.32,88.68,88.02,86.18,82.62,80.22,81.59,74.53,71.17,38.15,0.51,0,0,0,0,0,,804.73
PFV GUANCHOI [En_Revision],PFV GUANCHOI,ENEL GREEN POWER CHILE S.A.,PFV Guanchoi,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.01,0.01,0.16,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.01,0,0,0,0,0,,0.44
PFV HUATACONDO,Huatacondo,AUSTRIANSOLAR CHILE CUATRO SPA,PFV Huatacondo,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,13.23,56.58,73.63,72.7,70.51,66.91,67.05,60.44,46,16.14,0.41,0,0,0,0,0,,543.6
PFV JAMA,PFV JAMA-1,PLANTA SOLAR SAN PEDRO III SPA,PFV Jama,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.08,12.94,24.94,25.16,24.49,23.43,22.52,18.49,18.08,18.36,18.97,10.49,0.04,0,0,0,0,0,,217.99
PFV JAMA,PFV JAMA-2,PLANTA SOLAR SAN PEDRO III SPA,PFV Jama,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.01,7.75,17.79,18.21,17.78,17.26,16.12,13.57,13.91,13.67,13.08,7.25,0.07,0,0,0,0,0,,156.47
PFV JAVIERA,JAVIERA (SOLAR),JAVIERA SPA,PFV Javiera,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,6.389,38.776,44.506,41.002,40.999,36.873,34.001,34.514,34.71,29.784,7.66,0.148,0,0,0,0,0,,349.362
